,lv,mv,ward,county,area_type
0,69.78508316,33.59029411,Bahari,Lamu,SR
1,38.51714926,8.46576823,Kangundowest,Machakos,Urban
2,25.05519634,2.731747496,Roysambu,Nairobi,Urban
3,41.85516547,11.5268936,Cheranganysuwerwa,Transnzoia,Non-NR
4,39.61675263,820.7220744,Bura,Garissa,SR
5,31.82482697,7.121037223,Mugumu,Nyandarua,Urban
6,43.75778237,13.62183166,Embomos,Bureti,Non-NR
7,43.15228287,7.58872218,Kiegoiantubochiu,Meru,Non-NR
8,18.60963483,0.381574475,Portreitz,Mombasa,Urban
9,42.18880214,6.979662574,Idakhosouth,Kakamega,Non-NR
10,51.84923727,13.87879668,Abothuguchicentral,Meru,Non-NR
11,50.37016955,9.985209879,Westkarachuonyo,Homabay,Non-NR
12,54.25446422,12.85957542,Isukhaeast,Kakamega,Non-NR
13,48.5246924,15.63668406,Kanyikela,Homabay,Non-NR
14,42.97702425,9.746853455,Tongaren,Bungoma,Non-NR
15,40.40289431,11.17772502,Tezo,Kilifi,Non-NR
16,28.48850791,4.26600949,Marenyoshianda,Kakamega,Urban
17,20.09142391,0.960063545,Township,Nyamira,Urban
18,36.98223315,10.94693431,Nyanduma,Kiambu,Urban
19,35.12790728,11.5113628,Nyabasiwest,Migori,Urban
20,29.4222417,6.363316447,Wamagana,Nyeri,Urban
21,39.25277769,315.7562362,Korondile,Wajir,SR
22,27.71512225,6.856498907,Mitheru,Tharakanithi,Urban
23,29.6856532,11.32604706,Mekenene,Nyamira,Urban
24,46.67502606,14.6101275,Ollessos,Nandi,Non-NR
25,57.83052742,51.81513642,Kimintet,Narok,SR
26,47.28124501,10.59615078,Abogetawest,Meru,Non-NR
27,45.93812566,11.50067451,Kabula,Bungoma,Non-NR
28,37.19408675,11.43978078,Mwimbi,Tharakanithi,Urban
29,24.12573267,3.632113542,Changamwe,Mombasa,Urban
30,86.89485688,152.5410594,Dukana,Marsabit,SR
31,32.78519848,8.402539712,Mukurweinicentral,Nyeri,Urban
32,54.72364674,378.09367,Turbi,Marsabit,SR
33,29.42383758,5.736726936,Gaturinorth,Embu,Urban
34,12.32266585,0,Kwanjenga,Nairobi,Urban
35,19.49929797,0.488052219,Mjiwakalemakadara,Mombasa,Urban
36,52.82943104,15.28528742,Bukhayonorthwalatsi,Busia,Non-NR
37,45.21021789,8.752540091,Ndivisi,Bungoma,Non-NR
38,15.08978717,0.487679534,Ngando,Nairobi,Urban
39,66.10060366,27.61012966,Chala,Taitataveta,Non-NR
40,45.75503339,16.45747108,Ilkerin,Narok,Non-NR
41,21.06705853,3.344910614,Eastleighsouth,Nairobi,Urban
42,49.55801744,26.40438511,Rumurutitownship,Laikipia,Non-NR
43,28.56708793,2.999806954,Centralmaragoli,Vihiga,Urban
44,27.27995777,41.59782249,Elbarta,Samburu,NR
45,35.12050302,7.907991924,Namamali,Kakamega,Urban
46,55.49687805,18.41474997,Masii,Machakos,Non-NR
47,40.3685927,8.362817024,Kabondoeast,Homabay,Non-NR
48,42.80988524,15.10804878,Dabaso,Kilifi,Non-NR
49,28.2972171,3.281396592,Lugagawamuluma,Vihiga,Urban
50,15.65189462,0.660676054,Flamingo,Nakuru,Urban
51,21.63793349,3.122386178,Gitothua,Kiambu,Urban
52,50.43409327,13.10114641,Machewa,Transnzoia,Non-NR
53,39.1087699,14.54276097,Gatuanyaga,Kiambu,Non-NR
54,66.87548313,22.80223641,Kiagu,Meru,Non-NR
55,44.0095418,10.80141076,Westugenya,Siaya,Non-NR
56,98.17682256,76.37174523,Kisanana,Baringo,SR
57,43.79206622,63.00445946,Mackinnonroad,Kwale,SR
